     z      x
 -0.3553  0.5479
 -0.9154  0.7804
 -0.7899  0.7972
  0.8594  0.3056
  0.4453  0.4496
  0.1046  0.4981
 -0.4806  0.9342
   0.852  0.3047
  0.6125  0.3967
 -0.9535  0.7671
  0.5208  0.4153
 -0.9314  0.7389
   0.679  0.3996
 -1.0569  0.7402
 -0.2752  0.9645
 -0.3946  0.5702
 -0.5101  0.9402
  0.5686    0.42
 -1.0792  0.7098
 -0.0439  0.0134
  0.3924  0.4179
 -0.0121   0.013
  0.2844  0.0602
  0.1527  0.0277
 -0.4544  0.5655
 -0.9197  0.6757
  0.2831  0.0346
 -1.1166  0.7428
  1.0308  0.2465
 -0.8205  0.6323
